2158028940 = gd_bh_grp_token, Bounty Hunters Operative
2158214286 = fc_x_grp_token, Xenos Operative
2172279368 = ku_arena_token, Kusari Arena Token
2174919879 = fc_bd_grp_token, Blood Dragons Operative
2177189960 = fc_lwb_grp_token, LWB Operative
2177234441 = smallstation_animate2, smallstation_animate2 Sound
2179849546 = trading_outpost, trading_outpost Sound
2196231106 = gas_collector_animate1, gas_collector_animate1 Sound
2199466566 = nomad_infect_fire, nomad_infect_fire
2202318157 = emergency_arena_token, Emergency Arena Token
2227221959 = fc_fa_grp_token, Farmers Alliance Operative
2244111820 = gd_gm_grp_token, Gas Miners Guild Operative
2244310607 = gd_im_grp_token, Independant Miners Guild Operative
2248647617 = sfx_rumble_train, sfx_rumble_train Sound
2254717708 = gasminer_intake, Gas Miner Intake
2260738447 = fc_gc_grp_token, Golden Crysanthemums Operative
2268880449 = rh_n_grp_token, Rheinland Military Operative
2272901322 = ku_elite_fin02, Hydra Starboard Fin
2276044485 = li_p_grp_token, Liberty Police Operative
2301570826 = sfx_rumble_station_large, sfx_rumble_station_large Sound
2342173325 = mining_ship_armhit01, Mining Ship Arm Impact 01
2356021646 = mining_ship_arms, Mining Ship Animated Arms
2356232010 = sfx_rumble_battleship, sfx_rumble_battleship Sound
2368817934 = rareshield14, Rare Shield 14
2368844558 = rareshield12, Rare Shield 12
2368854798 = rareshield10, Rare Shield 10
2369059588 = rareshield08, Rare Shield 8
2369069828 = rareshield06, Rare Shield 6
2369080068 = rareshield04, Rare Shield 4
2369106692 = rareshield02, Rare Shield 2
2370026693 = fc_u_grp_token, Unioners Operative
2370158347 = fc_lh_grp_token, Lane Hackers Operative
2370478221 = fc_rh_grp_token, Red Hessians Operative
2379990021 = mining_ship_dust01, Mining Ship Dust 01
2385746179 = br_n_grp_token, Bretonia Armed Forces Operative
2391351497 = rareshieldregen14, Rare Shield Regen. 14
2391388361 = rareshieldregen10, Rare Shield Regen. 10
2391398601 = rareshieldregen12, Rare Shield Regen. 12
2391576771 = rareshieldregen08, Rare Shield Regen. 8
2391613635 = rareshieldregen04, Rare Shield Regen. 4
2391623875 = rareshieldregen06, Rare Shield Regen. 6
2391660739 = rareshieldregen02, Rare Shield Regen. 2
2408709761 = shipping_token, Shipping Overseer
2433449665 = mining_ship_sucking02, Mining Ship Sucking 02
2435173263 = Gas_miner, Gas_miner Sound
2444466628 = br_p_grp_token, Bretonia Police Operative
2445523982 = fc_h_grp_token, Hogosha Operative
2445542144 = fc_ou_grp_token, Outcasts Operative
2459217227 = br_elite_fin01, Paladin Port Fin
2479078406 = fc_j_grp_token, Junkers Operative
2493281222 = admin_token, Admin Armor + Wingmen License
2493758479 = fc_m_grp_token, Mollys Operative
2500775748 = contrail01, Contrail
2504938758 = gd_z_grp_token, Zoners Operative
2520301258 = rarearmor08, Rare Armor 8
2520321738 = rarearmor04, Rare Armor 4
2520344266 = rarearmor06, Rare Armor 6
2520381130 = rarearmor02, Rare Armor 2
2520620736 = rarearmor10, Rare Armor 10
2527444937 = fc_lr_grp_token, Liberty Rogues Operative
2544042112 = rarepower12, Rare Power Generator 12
2544068736 = rarepower10, Rare Power Generator 10
2544090115 = fc_n_grp_token, Nomads Operative
2544105600 = rarepower14, Rare Power Generator 14
2544257162 = rarepower08, Rare Power Generator 8
2544304266 = rarepower02, Rare Power Generator 2
2544341130 = rarepower06, Rare Power Generator 6
2544367754 = rarepower04, Rare Power Generator 4
2545280262 = weapon_platform_tower2, Weapons Platform Tower 2
2547153930 = weapon_platform_radar1, Weapons Platform Radar 1
2551161038 = powermod01, Light Power Modulator
2552868354 = li_n_grp_token, Liberty Navy Operative
2562481798 = rh_p_grp_token, Rheinland Police Operative
2569896000 = sfx_rumble_platform, sfx_rumble_platform Sound
2588130376 = fc_c_grp_token, Corsairs Operative
2596470089 = outpost_wallah, outpost_wallah Sound
2604907596 = fc_b_grp_token, Bundschuh Operative
2610653705 = rh_elite_fin01, Deimos Port Fin
2621619471 = sfx_rumble_station_small, sfx_rumble_station_small Sound
2629007880 = sfx_rumble_destroyer, sfx_rumble_destroyer Sound
2653142093 = fc_g_grp_token, Gaians Operative
2705170440 = gasminer_exhaust, Gas Miner Exhaust
2711572288 = sfx_rumble_solar_plant, sfx_rumble_solar_plant Sound
2714077705 = smallstation_animate1, smallstation_animate1 Sound
2726609805 = sfx_rumble_gunvessel, sfx_rumble_gunvessel Sound
2727150792 = li_arena_token, Liberty Arena Token
2757685317 = ku_p_grp_token, Kusari Police Operative
2768557891 = sfx_rumble_ut_small, sfx_rumble_ut_small Sound
2809007887 = sfx_rumble_nomad, sfx_rumble_nomad Sound
2809775306 = ku_elite_fin01, Hydra Port Fin
2818830413 = sfx_rumble_ut_miner, sfx_rumble_ut_miner Sound
2852390475 = sfx_rumble_lifter, sfx_rumble_lifter Sound
2876652992 = mining_ship_hitsparks, Mining Ship Arm Impact Sparks
2879047309 = mining_ship_armhit02, Mining Ship Arm Impact 02
2889506883 = depot_wallah, depot_wallah Sound
