2245925966 = br_gun02_mark03, Sunrail (Class 6)
2245936205 = br_gun01_mark02, Adv. Ripper (Class 5)
2245948494 = br_gun02_mark01, Skyrail (Class 4)
2245966925 = br_gun01_mark04, Adv. Dissolver (Class 7)
2256683983 = osiris_cloak, Osiris Cloak
2259889161 = fc_gc_gun01_mark03, Suncannon C (Class 8)
2259895305 = fc_gc_gun01_mark01, Suncannon A (Class 4)
2260541514 = co_gun01_mark04, Flashpoint (Class 6)
2260551754 = co_gun01_mark06, Heavy Flashpoint (Class 8)
2260566089 = co_gun02_mark03, Debilitator (Class 7 ShieldBuster)
2260588618 = co_gun01_mark02, Adv. Starbeam (Class 2)
2260592713 = co_gun02_mark01, Stunpulse (Class 2 ShieldBuster)
2293045504 = ku_gun02_mark01, Sunfury 1 (Class 5)
2293049603 = ku_gun01_mark02, Scrambler 2 (Class 6)
2293068032 = ku_gun02_mark03, Sunfrenzy 1 (Class 7)
2293092611 = ku_gun01_mark04, Disinfector 2 (Class 8)
2296647887 = fc_c_gun02_mark01, Borroco (Class 5 ShieldBuster)
2296651980 = fc_c_gun01_mark02, Angelito Mk II (Class 6)
2296674511 = fc_c_gun02_mark03, Tizona del Cid (Class 9 ShieldBuster)
2296699084 = fc_c_gun01_mark04, Salamanca Mk I (Class 8)
2314804169 = special_gun14, CERBERUS (Class 5)
2314832841 = special_gun10, WILD FIRE (Class 5)
2314855369 = special_gun12, PROMETHEUS (Class 5)
2315037635 = special_gun08, BLUE BLAZE (Class 5)
2315066307 = special_gun04, DIAMONDBACK (Class 5)
2315088835 = special_gun06, SILVER FIRE (Class 5)
2315117507 = special_gun02, BLOODSTONE (Class 5)
2317184719 = rh_gun01_mark04, Hornviper Mk II (Class 9)
2317194959 = rh_gun01_mark02, Stealthblade Mk II (Class 7)
2317199052 = rh_gun02_mark01, Flamecurse Mk I (Class 6)
2317209292 = rh_gun02_mark03, Firekiss Mk I (Class 8)
2317221583 = rh_gun01_mark00, Longblade (Class 4)
2335807624 = fc_bd_gun01_mark01, Tanto (Class 5)
2335830152 = fc_bd_gun01_mark03, Katana (Class 7)
2383489037 = fc_fa_gun01_mark03, Vulture 3 (Class 6)
2383495181 = fc_fa_gun01_mark01, Vulture (Class 4)
2420932431 = gd_z_gun01_mark02, Helios 2 (Class 4)
2420934479 = gd_z_gun01_mark04, Fury 2 (Class 7)
2442862593 = gd_bh_gun01_mark04, Winchester Mk II (Class 7)
2442872833 = gd_bh_gun01_mark06, Reaver Mk II (Class 9)
2442885122 = gd_bh_gun02_mark05, Buckshot (Class 9)
2442887170 = gd_bh_gun02_mark03, Warrior Mk I (Class 6)
2442909697 = gd_bh_gun01_mark02, Gunslinger Mk II (Class 4)
2442913794 = gd_bh_gun02_mark01, Brave Mk I (Class 2)
2451906767 = fc_x_gun01_mark04, Adv. Tarantula (Class 6)
2451953871 = fc_x_gun01_mark02, Adv. Scorpion (Class 3)
2462983881 = nomad_gun01_mark03, Nomad Laser Gun (3)
2462994121 = nomad_gun01_mark01, Nomad Laser Gun (1)
2467934286 = co_repair_gun01, Repair Turret (Class 5 Repair)
2472857805 = fc_m_gun01_mark02, Dublin Duster Mk II (Class 6)
2482215179 = fc_lwb_gun01_mark03, Eliminator (Class 7)
2482237707 = fc_lwb_gun01_mark01, Devastator (Class 5)
2490114311 = gd_im_gun01_mark05, Vampire 3 (Class 8)
2490151175 = gd_im_gun01_mark01, Matterthief 1 (Class 3)
