1.27 Removal Conversions:
li_small_station_turret01_mark01 > li_station_turret01
br_small_station_turret01_mark01 > br_station_turret01
ku_small_station_turret01_mark01 > ku_station_turret01
rh_small_station_turret01_mark01 > rh_station_turret01
co_small_station_turret01_mark01 > co_station_turret01
pi_small_station_turret01_mark01 > pi_station_turret01
li_wp_turret01_mark01 > li_wplatform_turret01
li_wp_turret02_mark01 > li_wplatform_missile_turret01
br_wp_turret01_mark01 > br_wplatform_turret01
br_wp_turret02_mark01 > br_wplatform_missile_turret01
ku_wp_turret01_mark01 > ku_wplatform_turret01
ku_wp_turret02_mark01 > ku_wplatform_missile_turret01
rh_wp_turret01_mark01 > rh_wplatform_turret01
rh_wp_turret02_mark01 > rh_wplatform_missile_turret01
co_wp_turret01_mark01 > co_wplatform_turret01
co_wp_turret02_mark01 > co_wplatform_missile_turret01
pi_wp_turret01_mark01 > pi_wplatform_turret01
pi_wp_turret02_mark01 > pi_wplatform_missile_turret01
li_wps_gun01_mark01 > li_small_wplatform_turret01
li_wps_mlauncher01_mark01 > li_small_wplatform_missile_turret01
br_wps_gun01_mark01 > br_small_wplatform_turret01
br_wps_mlauncher01_mark01 > br_small_wplatform_missile_turret01
ku_wps_gun01_mark01 > ku_small_wplatform_turret01
ku_wps_mlauncher01_mark01 > ku_small_wplatform_missile_turret01
rh_wps_gun01_mark01 > rh_small_wplatform_turret01
rh_wps_mlauncher01_mark01 > rh_small_wplatform_missile_turret01
co_wps_gun01_mark01 > co_small_wplatform_turret01
co_wps_mlauncher01_mark01 > co_small_wplatform_missile_turret01
pi_wps_gun01_mark01 > pi_small_wplatform_turret01
pi_wps_mlauncher01_mark01 > pi_small_wplatform_missile_turret01
lair_turret01 > nomad_lair_turret01
lair_turret02 > nomad_lair_turret02
small_station_turret > co_station_turret01
large_station_turret > co_station_turret01
li_large_station_turret01_mark01 > li_station_turret01
li_small_station_turret01_mark02 > li_station_turret01
li_large_station_turret01_mark02 > li_station_turret01
li_small_station_turret01_mark03 > li_station_turret01
li_large_station_turret01_mark03 > li_station_turret01
br_large_station_turret01_mark01 > br_station_turret01
br_small_station_turret01_mark02 > br_station_turret01
br_large_station_turret01_mark02 > br_station_turret01
br_small_station_turret01_mark03 > br_station_turret01
br_large_station_turret01_mark03 > br_station_turret01
ku_large_station_turret01_mark01 > ku_station_turret01
